Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.49726773,12.65565115,39.57766802,4.082620633,587.951054
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.92627203,11.10946073,37.26895887,2.664034182,392.2049334
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.00091476,11.33027806,37.11059744,4.104543202,487.5475049
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.30555663,13.71751367,36.72128268,3.120178783,581.852344
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33067252,12.79518855,37.5366533,4.446308318,599.406092
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87103788,12.02692534,34.47687763,5.493507201,637.1024479
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.0215955,11.36634831,36.68377615,4.685017247,521.5721748
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.73914294,12.35195897,37.37335886,4.434273435,549.9041461
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.9877729,13.38623528,37.53449734,3.273433578,570.200409
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.93654862,11.81412829,37.14516822,3.202806072,427.1993849
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99257277,13.33897545,37.22580613,2.482607771,492.6060127
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.87936082,11.584783,37.08792607,3.713209203,522.3374046
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.53242897,10.9612984,37.42021558,4.046423164,408.6403511
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19033404,12.95922609,36.1446667,3.918541839,573.4158673
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.38797585,13.14872569,36.61995708,2.494543647,470.4527333
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.73772037,12.63660605,36.21376309,3.357846842,461.7807422
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.1253869,11.73386169,34.89409275,3.136132716,457.8476959
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.33889932,12.01319469,38.38513659,2.420806161,407.7045475
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.18781205,14.71538754,38.24411459,1.516575581,452.3156755
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.61785606,13.98959256,37.1905038,4.06454855,605.0610388
megan33@gmail.com,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.91278511,11.36549203,37.60779252,4.599937358,534.7057438
agolden@yahoo.com,"PSC 2490, Box 2120
APO AE 15445-2876",Black,33.50308726,12.8779837,37.44102134,1.55915194,419.9387748
vstafford@hotmail.com,"PSC 5723, Box 8159
APO AA 74738",Olive,31.53160448,13.37856278,38.73400629,2.245147787,436.5156057
denise22@hernandez-townsend.com,"USNS Cardenas
FPO AA 85439-9449",Silver,32.90325097,11.65757592,36.77260376,3.919302309,519.3409891
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",Wheat,34.507551,12.8936695,37.63575588,5.705153971,700.9170916
william25@mcconnell.com,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",Teal,33.02933195,11.76581265,37.73852495,2.721735992,423.1799917
ijones@schaefer-carr.net,"657 Judith Crossroad
Hancockchester, VI 75658-5788",Linen,33.54123131,12.78389178,36.43064962,4.648199316,619.8956399
heatherhall@yahoo.com,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501-7264",MediumSlateBlue,32.33598964,13.00781942,37.85177917,2.996364526,486.8389348
tinasmith@martinez.info,"40000 Ann Port Suite 474
Youngberg, MS 03651",LemonChiffon,33.11020506,11.98204499,35.29308775,3.923488746,529.5376653
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",DarkOrchid,33.10543794,11.96502,37.27781174,4.74257752,554.7220838
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617
Meyerstown, WA 45449-6768",SeaGreen,33.24190043,12.30541781,36.16364817,3.062368145,497.5866713
jared39@hotmail.com,"739 David Isle Suite 818
Chandlertown, DC 34587",SteelBlue,33.4610563,10.86916381,35.62244242,3.471413452,447.6879065
briancarlson@page-fleming.com,"USCGC Gill
FPO AA 26496",DarkMagenta,32.17550124,13.38749211,35.69417499,4.343062915,588.7126055
joshuaodom@gmail.com,"5277 Patel Brook
East Audrey, NJ 19075",DarkGoldenRod,32.72836,13.10450724,38.87804051,2.820097234,491.0732237
vickie90@lee-wilson.com,"9135 Rodriguez Dam
Ramirezberg, MS 77223",DarkSeaGreen,32.82030995,11.63489325,35.36862633,4.124585297,507.4418323
duane56@hotmail.com,"24373 Mcgee Drive Apt. 990
New Mariahaven, NH 14470",Gainsboro,33.61603789,11.9363865,38.768641,3.649286158,521.8835732
enash@gmail.com,"997 Campbell Flat Suite 970
East Amanda, PW 22048",HotPink,31.72165236,11.7550237,36.76572236,1.847370423,347.7769266
sandraharrison@bailey-gordon.net,"7835 Rogers Roads
East Amberhaven, MI 70835-2286",LightSeaGreen,32.86532717,11.98441752,37.0443614,3.452388583,490.7386321
cunninghamwilliam@hotmail.com,"4589 Dan Fords
Beasleyburgh, ME 96590-8272",HoneyDew,32.74936818,9.954975969,37.38831487,4.650491269,478.1703341
teresaallen@hill-leach.info,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393-5336",WhiteSmoke,32.56723048,12.48901322,36.37147981,4.222436225,537.8461953
rhonda96@little.org,"2977 Perez Row
Lake Jack, TN 45336-9436",GhostWhite,32.07054622,11.73310622,37.53429101,4.671275461,532.7517876
lisacabrera@yahoo.com,"9801 Thomas Pike Suite 058
Brandishire, AK 88122-1314",DarkSlateBlue,33.01954799,10.63456132,37.49669015,4.646119977,501.8744303
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.79203908,12.50752537,37.14286198,4.214495086,591.1971782
hoovernicole@dorsey.net,"69403 Hernandez Knolls
Marciashire, DE 36417-5667",HoneyDew,32.89398062,11.52987821,36.88808605,4.64325855,547.2443434
christopher20@gmail.com,"USNV Fuller
FPO AE 32122-5711",Snow,32.04448613,13.41493474,36.11243501,2.258686387,448.2298292
brianwilson@yahoo.com,"448 Stewart Divide
New Ashleyfort, FM 84050",BurlyWood,34.55576799,12.17052542,39.13109673,3.663105491,549.8605905
gonzaleskatie@gmail.com,"70129 Darrell Spring
Thomasmouth, HI 39319-2739",Moccasin,34.56455771,13.14655143,37.33544589,3.876875177,593.915003
